2021-01-07 01:44:57.4743 | INFO | ProjAssignment.LoggingHelper | Order # 12111 Ended
2021-01-07 01:44:57.4743 | INFO | ProjAssignment.LoggingHelper | End of Unit Test : Void TestInvalidItem() 
--------------------
2021-01-07 01:44:57.4962 | INFO | ProjAssignment.LoggingHelper | Start of Unit Test : Void TestAllInvalidItem() 
2021-01-07 01:44:57.5766 | INFO | ProjAssignment.LoggingHelper | Order # 42426 processing started
2021-01-07 01:44:57.5766 | INFO | ProjAssignment.LoggingHelper | Order # 42426 Validation Started
2021-01-07 01:44:57.5766 | ERROR | ProjAssignment.LoggingHelper | Invalid Item found: Name AA , Reason: Item Not found
2021-01-07 01:44:57.5830 | ERROR | ProjAssignment.LoggingHelper | Invalid Item found: Name BB , Reason: Item Not found
2021-01-07 01:44:57.5830 | ERROR | ProjAssignment.LoggingHelper | Invalid Item found: Name Z , Reason: Item Not found
2021-01-07 01:44:57.5830 | INFO | ProjAssignment.LoggingHelper | Num of valid items: 0
2021-01-07 01:44:57.5830 | INFO | ProjAssignment.LoggingHelper | Num of In-valid items: 3
2021-01-07 01:44:57.5830 | INFO | ProjAssignment.LoggingHelper | Order # 42426 Validation Ended
2021-01-07 01:44:57.5830 | INFO | ProjAssignment.LoggingHelper | Order # 42426 Validation Started
2021-01-07 01:44:57.5830 | ERROR | ProjAssignment.LoggingHelper | Invalid Item found: Name AA , Reason: Item Not found
2021-01-07 01:44:57.5830 | ERROR | ProjAssignment.LoggingHelper | Invalid Item found: Name BB , Reason: Item Not found
2021-01-07 01:44:57.5830 | ERROR | ProjAssignment.LoggingHelper | Invalid Item found: Name Z , Reason: Item Not found
2021-01-07 01:44:57.5985 | INFO | ProjAssignment.LoggingHelper | Num of valid items: 0
2021-01-07 01:44:57.5985 | INFO | ProjAssignment.LoggingHelper | Num of In-valid items: 3
2021-01-07 01:44:57.5985 | INFO | ProjAssignment.LoggingHelper | Order # 42426 Validation Ended
2021-01-07 01:44:57.5985 | INFO | ProjAssignment.LoggingHelper | End of Unit Test : Void TestAllInvalidItem() 
--------------------
2021-01-07 01:44:57.5985 | INFO | ProjAssignment.LoggingHelper | Start of Unit Test : Void TestInvalidItem2() 
2021-01-07 01:44:57.7035 | INFO | ProjAssignment.LoggingHelper | Order # 72742 processing started
2021-01-07 01:44:57.7035 | INFO | ProjAssignment.LoggingHelper | Order # 72742 Validation Started
2021-01-07 01:44:57.7035 | ERROR | ProjAssignment.LoggingHelper | Invalid Quantity for Item found: Name A , Reason Invalid Order Quantity
2021-01-07 01:44:57.7085 | INFO | ProjAssignment.LoggingHelper | Num of valid items: 0
2021-01-07 01:44:57.7085 | INFO | ProjAssignment.LoggingHelper | Num of In-valid items: 1
2021-01-07 01:44:57.7085 | INFO | ProjAssignment.LoggingHelper | Order # 72742 Validation Ended
2021-01-07 01:44:57.7085 | INFO | ProjAssignment.LoggingHelper | Order # 72742 Validation Started
2021-01-07 01:44:57.7085 | ERROR | ProjAssignment.LoggingHelper | Invalid Quantity for Item found: Name A , Reason Invalid Order Quantity
2021-01-07 01:44:57.7085 | INFO | ProjAssignment.LoggingHelper | Num of valid items: 0
2021-01-07 01:44:57.7085 | INFO | ProjAssignment.LoggingHelper | Num of In-valid items: 1
2021-01-07 01:44:57.7085 | INFO | ProjAssignment.LoggingHelper | Order # 72742 Validation Ended
2021-01-07 01:44:57.7085 | INFO | ProjAssignment.LoggingHelper | End of Unit Test : Void TestInvalidItem2() 
--------------------
2021-01-07 01:44:57.7246 | INFO | ProjAssignment.LoggingHelper | Start of Unit Test : Void TestQuantityNegative() 
2021-01-07 01:44:57.8071 | INFO | ProjAssignment.LoggingHelper | Order # 67178 processing started
2021-01-07 01:44:57.8071 | INFO | ProjAssignment.LoggingHelper | Order # 67178 Validation Started
2021-01-07 01:44:57.8071 | ERROR | ProjAssignment.LoggingHelper | Invalid Item found: Name A , Reason: Quantiy is Negative
2021-01-07 01:44:57.8071 | INFO | ProjAssignment.LoggingHelper | Num of valid items: 0
2021-01-07 01:44:57.8071 | INFO | ProjAssignment.LoggingHelper | Num of In-valid items: 1
2021-01-07 01:44:57.8071 | INFO | ProjAssignment.LoggingHelper | Order # 67178 Validation Ended
2021-01-07 01:44:57.8180 | INFO | ProjAssignment.LoggingHelper | End of Unit Test : Void TestQuantityNegative() 
--------------------
